entidad,tipo_entidad
Universidad de California en Berkeley,institución educativa
Universidad Harvard,universidad
matrona,profesión sanitaria
enfermero,profesión
defensa,posición de fútbol
filósofo,académico
Facultad de Filosofía de la Pontificia Universidad de la Santa Cruz,facultad
Henry Stokes,ser humano
José Rafael Godoy,ser humano
José Toledo Ordóñez,ser humano
Lenina Amapola García,ser humano
Francisco Wurmser Ordóñez,ser humano
José María Vallejo García-Hevia,ser humano
Daniel Salamanca Posadas,ser humano
Tony Ewing,ser humano
Ronald MacKay,ser humano
Andrea Ixchíu,ser humano
Guillermo Grajeda Mena,ser humano
Claudia Ruíz Casasola,ser humano
Alvaro González Ricci,ser humano
Oliverio García Rodas,ser humano
Gendri Reyes,ser humano
Juan Rozzoto,ser humano
Arabella Castro,ser humano
Luis Enrique Monterroso,ser humano
Mario Búcaro,ser humano
José María Cofiño Valladares,ser humano
escultor,profesión artística
teólogo,profesión
Avilés,concejo
Universidad Complutense de Madrid,universidad
actor de voz,Wikidata property to identify contributors to audiovisual works
youtuber,creador de contenido
mando,biblioteca de Python
comunicador,ocupación
Universidad Panamericana de Guatemala,universidad
Presidente del Banco de Guatemala,cargo público
Ministro de Gobernación de Guatemala,cargo público
Ministro de Salud Pública y Asistencia Social,ministro
Ministro de Relaciones Exteriores de Guatemala,ministro
Virginia Laparra,ser humano
Ch´umilkaj Curruchiche,ser humano
Angelina Aspuac,ser humano
Yeison del Cid,ser humano
Kaypa' Tz'iken,ser humano
Napoleón Barrientos,ser humano
Lorena Calvo,ser humano
Reginaldo Chayax,ser humano
Marleny Rosales-Meda,ser humano
Carlos Soza,ser humano
Francisco Barnoya Galvez,ser humano
Ricardo Castañeda Paganini,ser humano
Ernesto Chinchilla Aguilar,ser humano
Jorge del Valle Matheu,ser humano
Agustín Estrada Monroy,ser humano
Horacio Figueroa Marroquín,ser humano
Antonio Goubaud Carrera,ser humano
Alfredo Guerra-Borges,ser humano
Luis Luján Muñoz,ser humano
Flavio Rojas Lima,ser humano
Isla Nublar,isla ficticia
fiscal,cargo
Sacapulas,municipio
Premios Whitley,premio
agricultor,trabajador
historiador,profesión
Sociedad de Geografía de París,sociedad geográfica
economista,profesión
Pedro Zamora Castellanos,ser humano
Josefina Alonso de Rodríguez,ser humano
Edgar Juan Aparicio y Aparicio,ser humano
Jorge Arias de Blois,ser humano
Jorge Luis Arriola,ser humano
Manuel Chavarría Flores,ser humano
Federico Fahsen Ortega,ser humano
José Mata Gavidia,ser humano
Ramiro Ordoñez Jonama,ser humano
Mariano Pacheco Herrarte,ser humano
Ovidio Rodas Corzo,ser humano
Lisandro Sandoval,ser humano
Ignacio Zúñiga Corres,ser humano
María Cristina Zilbermann de Luján,ser humano
Arturo Valdés Oliva,ser humano
Francisco Sánchez Latour,ser humano
Carlos Alfonso Álvarez-Lobos Villatoro,ser humano
Roberto Aycinena Echeverría,ser humano
Luis Beltranena Sinibaldi,ser humano
José Edgardo Cal Montoya,ser humano
genealogista,profesión
geógrafo,profesión
Totonicapán,ciudad
pedagogo,profesión
epigrafista,profesión
agrónomo,profesión
Universidad Pablo de Olavide,universidad
