entidad,tipo_entidad
magistrado,profesión jurídica
Colegio Mayor de San Bartolomé,colegio mayor
Universidad Nacional Autónoma de México,universidad
Premio Centroamericano de Literatura Rogelio Sinán,premio literario
Karen Jordán,ser humano
Karina Pinilla,ser humano
Keity Drennan,ser humano
Kevin Daley,ser humano
Kevin Melgar,ser humano
Kevin Ramos,ser humano
Guillermo Cochez,ser humano
Javier Stanziola,ser humano
Latin Fresh,ser humano
Liz De León,ser humano
Luis Anderson McNeil,ser humano
Luis Gallardo,ser humano
Luis Jaramillo,ser humano
Luis Mendoza,ser humano
Luis Molina,ser humano
Luis Sinclair,ser humano
Manuel Barrios,ser humano
Manuel Campos,ser humano
Manuel Espinosa Batista,ser humano
Marelissa Him,ser humano
Río Abajo,Comunidad de Panamá
Universidad de Nevada en Reno,universidad
Universidad Tulane de Luisiana,universidad
De mangos y albaricoques,obra literaria
Paso Canoas,ciudad
Margarita Henríquez,ser humano
Mario Butler,ser humano
Mario Méndez,ser humano
Marta DuBois,ser humano
Marta Linares de Martinelli,ser humano
Martín Gómez,ser humano
María Alessandra Mezquita,ser humano
María Sofía Velásquez,ser humano
Mateo Edward,ser humano
Mayte Sánchez,ser humano
Michele Sage,ser humano
Miguel Gómez,ser humano
Mike Eden,ser humano
Nando Boom,ser humano
Nele Kantule,ser humano
Nicole Morrell,ser humano
Norris Webb,ser humano
Reggie Grenald,ser humano
Eduardo Archibold,ser humano
Joel Tesis,ser humano
La Villa de Los Santos,asentamiento
reportero,periodista
Universidad Estatal de Florida,universidad
SERTV Canal 11,emisora de televisión
Fuerte Clayton,fuerte
Universidad del Sur de Illinois Carbondale,universidad
revolucionario,activista político
entrenador de baloncesto,profesión
Angel Kadhir Herrera Whitehead,ser humano
Justin Diaz,ser humano
Fernando Morales,ser humano
Arturo Molina,ser humano
Rodolfo Espada,ser humano
Randal Aguilar,ser humano
Alberto Duque,ser humano
Daniela Teresa Reyes Jimenez,ser humano
Hermione Hicks,ser humano
Genesis Lilian Juarez Arosemena,ser humano
Nashua Cecilia Staff Abrego,ser humano
Sabina Michelle Pereira Motta,ser humano
Maria Garcia,ser humano
Vivian Alexandra Galagarza Fernandez,ser humano
Andrea Isabella De los Rios Juliao,ser humano
Ana Lucia De Leon Ospina,ser humano
Mariangel Concha,ser humano
Valeria Sofia Batista Gomez,ser humano
Wyneth Gislayne Acevedo Agrazal,ser humano
Sebastian Bosquez,ser humano
José Raúl Mulino,ser humano
Gerald Thorne,ser humano
Oris Sanjur Fonseca,ser humano
Joselyne Edwards,ser humano
Omar Córdoba,ser humano
Félix Cuevas (docente),ser humano
Antonio Domínguez Richa,ser humano
Amir Soto,ser humano
Ana Guardia,ser humano
Emanuel Gonzalez Revilla Hijo,ser humano
Antonio Domínguez Álvarez,ser humano
Jose Antonio Dominguez,ser humano
Rubén Hernández,ser humano
Emily Santos,ser humano
Tyler Christianson,ser humano
Miguel Iriarte,ser humano
Edward José,ser humano
Markelda Montenegro de Herrera,ser humano
Alberto Baldonado,ser humano
Galileo Solís,ser humano
Ministro de Seguridad Pública de Panamá,cargo público
biólogo molecular,biólogo
Universidad Rutgers,universidad
Instituto Smithsonian de Investigaciones Tropicales,instituto
biólogo evolutivo,profesión
luchador de artes marciales mixtas,profesión
San Lorenzo,ciudad
Ministro de Relaciones Exteriores de Panamá,ministro
Freddy Góndola,ser humano
Carina Baltrip-Reyes,ser humano
Juan Tejada,ser humano
Lupita Barriga,ser humano
Luis Hurtado,ser humano
Luis Pulido Ritter,ser humano
Edwin Domínguez,ser humano
Susan Moore,pueblo de Estados Unidos
Crispiano Adames,ser humano
Herbert Cousins,ser humano
Andrew Donald Morrison,ser humano
Christopher Cragwell,ser humano
Orman Davis,ser humano
Carlos R. Ordóñez,ser humano
Pantaleón Henríquez Bernal,ser humano
Al Smith,ser humano
Bernabé Vergara,ser humano
Diego Dominguez,ser humano
David Checa,ser humano
Karoline Castillo,ser humano
Austin,ciudad
diseñador,propiedad de Wikidata para elementos sobre obras
entomólogo,profesión
Universidad Federal de Viçosa,universidad
Universidad de Glasgow,universidad
físico,profesión
Universidad de Texas en Austin,universidad
Universidad Vanderbilt,universidad
Albany,ciudad
Beca Guggenheim,premio académico
Eymie Estefania Gayle Alvarez,ser humano
